## taxon_id	STRING_type	STRING_name_compact	official_name_NCBI
65393	periphery	Cyanothece sp. PCC 7424	Cyanothece sp. PCC7424
65489	periphery	Oryza barthii	Oryza barthii
65497	periphery	Actinoalloteichus cyanogriseus	Actinoalloteichus cyanogriseus
65672	periphery	Piriformospora indica	Piriformospora indica
66269	core	Pantoea stewartii	Pantoea stewartii
66373	periphery	Streptomyces niger	Streptomyces niger
66377	periphery	Streptomyces violens	Streptomyces violens
66429	periphery	Streptomyces roseoverticillatus	Streptomyces roseoverticillatus
66692	periphery	Bacillus clausii KSM-K16	Bacillus clausii
66869	periphery	Streptomyces atroolivaceus	Streptomyces atroolivaceus
66874	periphery	Streptomyces bicolor	Streptomyces bicolor
66875	periphery	Streptomyces catenulae	Streptomyces catenulae
66897	periphery	Streptomyces griseorubens	Streptomyces griseorubens
67257	periphery	Streptomyces albus subsp. albus	Streptomyces albus
67267	periphery	Streptomyces alboflavus	Streptomyces alboflavus
67275	periphery	Streptomyces aureocirculatus	Streptomyces aureocirculatus
67281	periphery	Streptomyces californicus	Streptomyces californicus
67315	periphery	Streptomyces lavenduligriseus	Streptomyces lavenduligriseus
67332	periphery	Streptomyces mutabilis	Streptomyces mutabilis
67352	periphery	Streptomyces purpeofuscus	Streptomyces purpeofuscus
67356	periphery	Streptomyces resistomycificus	Streptomyces resistomycificus
67373	periphery	Streptomyces varsoviensis	Streptomyces varsoviensis
67593	periphery	Phytophthora sojae	Phytophthora sojae
68170	periphery	Lechevalieria aerocolonigenes	Lechevalieria aerocolonigenes
68194	periphery	Streptomyces durhamensis	Streptomyces durhamensis
68199	periphery	Streptomyces flavochromogenes	Streptomyces flavochromogenes
68219	periphery	Streptomyces iakyrus	Streptomyces iakyrus
68223	periphery	Streptomyces katrae	Streptomyces katrae
68260	periphery	Streptomyces pyridomyceticus	Streptomyces pyridomyceticus
68570	periphery	Streptomyces albulus	Streptomyces albulus
68886	periphery	Theileria orientalis	Theileria orientalis
69014	periphery	Thermococcus kodakarensis KOD1	Thermococcus kodakarensis
69042	periphery	Synechococcus sp. WH 5701	Synechococcus sp. WH 5701
69279	core	Aquamicrobium defluvii	Aquamicrobium defluvii
69293	core	Gasterosteus aculeatus	Gasterosteus aculeatus
69319	periphery	Microplitis demolitor	Microplitis demolitor
69328	periphery	Pseudomonas sp. VLB120	Pseudomonas sp. VLB120
